126HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
286.7092073164725 835.0
286.9762450504025 835.0
287.24327508802315 828.0
287.5102974288511 819.0
287.77731207240345 826.0
288.04431901819703 844.0
288.3113182657485 827.0
288.578309814575 822.0
288.84529366419326 826.0
289.1122698141201 810.0
289.37923826387254 819.0
289.6461990129674 825.0
289.91315206092133 824.0
290.18009740725154 840.0
290.44703505147464 833.0
290.7139649931077 835.0
290.98088723166734 834.0
291.24780176667065 826.0
291.5147085976344 828.0
291.78160772407557 831.0
292.04849914551085 857.0
292.3153828614572 842.0
292.58225887143146 828.0
292.8491271749505 819.0
293.1159877715313 834.0
293.3828406606906 826.0
293.6496858419453 831.0
293.9165233148123 836.0
294.1833530788084 817.0
294.4501751334505 819.0
294.71698947825547 818.0
294.9837961127402 829.0
295.2505950364216 812.0
295.5173862488164 827.0
295.78416974944156 821.0
296.050945537814 819.0
296.31771361345045 841.0
296.584473975868 834.0
296.8512266245832 849.0
297.11797155911313 817.0
297.38470877897464 834.0
297.6514382836846 820.0
297.9181600727598 825.0
298.18487414571723 837.0
298.4515805020736 842.0
298.71827914134593 834.0
298.9849700630511 828.0
299.2516532667058 832.0
299.518328751827 825.0
299.78499651793163 813.0
300.0516565645365 826.0
300.3183088911584 825.0
300.58495349731436 833.0
300.8515903825211 829.0
301.1182195462956 841.0
301.3848409881546 838.0
301.65145470761513 819.0
301.91806070419403 825.0
302.184658977408 829.0
302.4512495267741 836.0
302.7178323518091 823.0
302.9844074520298 812.0
303.2509748269532 836.0
303.5175344760962 817.0
303.78408639897555 820.0
304.0506305951082 833.0
304.31716706401096 830.0
304.58369580520065 843.0
304.8502168181943 836.0
305.1167301025086 805.0
305.3832356576606 818.0
305.649733483167 823.0
305.9162235785447 811.0
306.1827059433106 834.0
306.4491805769817 818.0
306.7156474790747 841.0
306.98210664910647 830.0
307.2485580865939 832.0
307.5150017910539 827.0
307.7814377620034 838.0
308.0478659989591 829.0
308.31428650143795 823.0
308.58069926895683 856.0
308.8471043010326 833.0
309.1135015971821 830.0
309.37989115692227 826.0
309.6462729797699 841.0
309.91264706524197 827.0
310.1790134128551 814.0
310.4453720221265 824.0
310.71172289257277 828.0
310.97806602371094 823.0
311.2444014150577 844.0
311.5107290661301 845.0
311.777048976445 840.0
312.04336114551904 835.0
312.30966557286945 830.0
312.5759622580128 835.0
312.8422512004661 834.0
313.1085323997461 840.0
313.3748058553698 835.0
313.641071566854 836.0
313.90732953371554 815.0
314.17357975547145 830.0
314.4398222316384 818.0
314.70605696173334 836.0
314.9722839452731 823.0
315.23850318177466 830.0
315.50471467075477 841.0
315.7709184117303 840.0
316.0371144042182 817.0
316.3033026477353 818.0
316.56948314179846 836.0
316.8356558859246 828.0
317.1018208796305 831.0
317.36797812243304 831.0
317.6341276138491 828.0
317.90026935339563 820.0
318.1664033405894 833.0
318.4325295749473 847.0
318.6986480559862 826.0
318.96475878322303 827.0
319.2308617561746 826.0
319.4969569743577 820.0
319.76304443728935 840.0
320.0291241444864 831.0
320.2951960954656 811.0
320.5612602897438 842.0
320.82731672683815 829.0
321.0933654062652 837.0
321.359406327542 826.0
321.6254394901853 846.0
321.891464893712 837.0
322.157482537639 824.0
322.4234924214832 835.0
322.68949454476143 825.0
322.95548890699064 839.0
323.2214755076875 844.0
323.487454346369 828.0
323.753425422552 841.0
324.01938873575347 836.0
324.2853442854901 835.0
324.55129207127885 827.0
324.8172320926366 835.0
325.08316434908016 839.0
325.34908884012646 827.0
325.61500556529234 819.0
325.8809145240947 828.0
326.14681571605024 833.0
326.4127091406761 834.0
326.6785947974889 830.0
326.9444726860058 814.0
327.2103428057433 817.0
327.47620515621855 834.0
327.74205973694836 843.0
328.00790654744947 832.0
328.2737455872389 826.0
328.5395768558335 841.0
328.80540035275004 828.0
329.0712160775054 826.0
329.33702402961654 840.0
329.6028242086002 833.0
329.86861661397353 838.0
330.13440124525306 825.0
330.4001781019559 820.0
330.66594718359863 814.0
330.9317084896984 824.0
331.19746201977205 826.0
331.46320777333636 840.0
331.7289457499082 817.0
331.9946759490044 823.0
332.2603983701419 831.0
332.5261130128375 832.0
332.79181987660826 829.0
333.05751896097087 831.0
333.3232102654422 813.0
333.58889378953916 816.0
333.85456953277856 824.0
334.1202374946774 817.0
334.38589767475247 820.0
334.6515500725206 840.0
334.9171946874987 851.0
335.18283151920355 831.0
335.4484605671522 837.0
335.7140818308614 820.0
335.97969530984807 822.0
336.245301003629 833.0
336.51089891172114 820.0
336.77648903364127 817.0
337.04207136890636 812.0
337.30764591703326 840.0
337.5732126775387 840.0
337.83877164993976 836.0
338.10432283375314 824.0
338.36986622849577 823.0
338.63540183368457 822.0
338.9009296488363 831.0
339.16644967346787 817.0
339.4319619070962 836.0
339.6974663492381 836.0
339.9629629994105 822.0
340.22845185713027 842.0
340.4939329219141 827.0
340.75940619327906 834.0
341.02487167074196 827.0
341.2903293538197 846.0
341.555779242029 842.0
341.821221334887 841.0
342.0866556319103 827.0
342.3520821326158 848.0
342.6175008365205 842.0
342.8829117431413 803.0
343.1483148519949 816.0
343.41371016259825 822.0
343.6790976744682 834.0
343.9444773871216 811.0
344.20984930007546 825.0
344.4752134128465 833.0
344.74056972495157 830.0
345.0059182359076 845.0
345.27125894523147 836.0
345.53659185244 828.0
345.80191695705014 835.0
346.0672342585787 832.0
346.3325437565426 828.0
