shot=13_position=5_gas=Ne_height=80_RF=149.3W_massflow=8000_coils=60.0A_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
281.3668371569146 797.0
281.6340287155756 790.0
281.9012125875897 790.0
282.168388772474 794.0
282.4355572697452 793.0
282.7027180789201 794.0
282.9698711995158 787.0
283.23701663104896 787.0
283.50415437303667 803.0
283.77128442499554 808.0
284.0384067864426 795.0
284.3055214568946 792.0
284.57262843586864 802.0
284.8397277228814 798.0
285.1068193174497 789.0
285.37390321909055 791.0
285.6409794273207 805.0
285.9080479416572 791.0
286.1751087616167 795.0
286.4421618867162 792.0
286.7092073164725 786.0
286.9762450504025 817.0
287.24327508802315 800.0
287.5102974288511 795.0
287.77731207240345 793.0
288.04431901819703 789.0
288.3113182657485 789.0
288.578309814575 813.0
288.84529366419326 804.0
289.1122698141201 792.0
289.37923826387254 794.0
289.6461990129674 793.0
289.91315206092133 800.0
290.18009740725154 776.0
290.44703505147464 786.0
290.7139649931077 800.0
290.98088723166734 798.0
291.24780176667065 798.0
291.5147085976344 814.0
291.78160772407557 796.0
292.04849914551085 782.0
292.3153828614572 798.0
292.58225887143146 798.0
292.8491271749505 791.0
293.1159877715313 805.0
293.3828406606906 794.0
293.6496858419453 805.0
293.9165233148123 805.0
294.1833530788084 798.0
294.4501751334505 798.0
294.71698947825547 806.0
294.9837961127402 807.0
295.2505950364216 811.0
295.5173862488164 791.0
295.78416974944156 801.0
296.050945537814 805.0
296.31771361345045 816.0
296.584473975868 797.0
296.8512266245832 792.0
297.11797155911313 797.0
297.38470877897464 803.0
297.6514382836846 792.0
297.9181600727598 816.0
298.18487414571723 807.0
298.4515805020736 812.0
298.71827914134593 809.0
298.9849700630511 801.0
299.2516532667058 791.0
299.518328751827 789.0
299.78499651793163 806.0
300.0516565645365 795.0
300.3183088911584 802.0
300.58495349731436 809.0
300.8515903825211 798.0
301.1182195462956 804.0
301.3848409881546 796.0
301.65145470761513 801.0
301.91806070419403 810.0
302.184658977408 804.0
302.4512495267741 804.0
302.7178323518091 816.0
302.9844074520298 805.0
303.2509748269532 807.0
303.5175344760962 788.0
303.78408639897555 797.0
304.0506305951082 795.0
304.31716706401096 802.0
304.58369580520065 788.0
304.8502168181943 787.0
305.1167301025086 796.0
305.3832356576606 785.0
305.649733483167 798.0
305.9162235785447 807.0
306.1827059433106 805.0
306.4491805769817 800.0
