HR4000_03_08_2023_13h58min08s spectrum
Wavelength [nm] // Intensity [u.a.] 
814.9341400000001 818.0
815.9341400000001 790.0
816.9341400000001 811.0
817.9341400000001 814.0
818.9341400000001 811.0
819.9341400000001 799.0
820.9341400000001 805.0
821.9341400000001 801.0
822.9341400000001 790.0
823.9341400000001 803.0
824.9341400000001 802.0
825.9341400000001 808.0
826.9341400000001 804.0
827.9341400000001 803.0
828.9341400000001 804.0
829.9341400000001 803.0
830.9341400000001 788.0
831.9341400000001 805.0
832.9341400000001 806.0
833.9341400000001 805.0
834.9341400000001 795.0
835.9341400000001 808.0
836.9341400000001 815.0
837.9341400000001 809.0
838.9341400000001 814.0
839.9341400000001 813.0
840.9341400000001 791.0
841.9341400000001 792.0
842.9341400000001 791.0
843.9341400000001 797.0
844.9341400000001 799.0
845.9341400000001 796.0
846.9341400000001 803.0
847.9341400000001 804.0
848.9341400000001 797.0
849.9341400000001 805.0
850.9341400000001 803.0
851.9341400000001 815.0
852.9341400000001 798.0
853.9341400000001 793.0
854.9341400000001 804.0
855.9341400000001 792.0
856.9341400000001 800.0
857.9341400000001 806.0
858.9341400000001 805.0
859.9341400000001 802.0
860.9341400000001 814.0
861.9341400000001 787.0
862.9341400000001 800.0
863.9341400000001 815.0
864.9341400000001 810.0
865.9341400000001 788.0
866.9341400000001 808.0
867.9341400000001 805.0
868.9341400000001 811.0
869.9341400000001 809.0
870.9341400000001 805.0
871.9341400000001 801.0
872.9341400000001 788.0
873.9341400000001 795.0
874.9341400000001 787.0
875.9341400000001 804.0
876.9341400000001 805.0
877.9341400000001 803.0
878.9341400000001 818.0
879.9341400000001 792.0
880.9341400000001 807.0
881.9341400000001 808.0
882.9341400000001 800.0
883.9341400000001 786.0
884.9341400000001 799.0
885.9341400000001 788.0
886.9341400000001 820.0
887.9341400000001 813.0
888.9341400000001 802.0
889.9341400000001 808.0
890.9341400000001 792.0
891.9341400000001 798.0
892.9341400000001 796.0
893.9341400000001 813.0
894.9341400000001 816.0
895.9341400000001 802.0
896.9341400000001 808.0
897.9341400000001 803.0
898.9341400000001 792.0
899.9341400000001 812.0
900.9341400000001 804.0
901.9341400000001 805.0
902.9341400000001 803.0
903.9341400000001 806.0
904.9341400000001 811.0
905.9341400000001 791.0
906.9341400000001 802.0
907.9341400000001 807.0
908.9341400000001 804.0
909.9341400000001 807.0
910.9341400000001 787.0
911.9341400000001 806.0
912.9341400000001 790.0
913.9341400000001 797.0
914.9341400000001 798.0
915.9341400000001 814.0
916.9341400000001 811.0
917.9341400000001 807.0
918.9341400000001 803.0
919.9341400000001 787.0
920.9341400000001 796.0
921.9341400000001 792.0
922.9341400000001 798.0
923.9341400000001 801.0
924.9341400000001 800.0
925.9341400000001 807.0
926.9341400000001 817.0
927.9341400000001 791.0
928.9341400000001 790.0
929.9341400000001 808.0
930.9341400000001 806.0
931.9341400000001 799.0
932.9341400000001 807.0
933.9341400000001 793.0
934.9341400000001 803.0
935.9341400000001 793.0
936.9341400000001 794.0
937.9341400000001 791.0
938.9341400000001 801.0
939.9341400000001 803.0
940.9341400000001 809.0
941.9341400000001 810.0
942.9341400000001 804.0
943.9341400000001 803.0
944.9341400000001 800.0
945.9341400000001 798.0
946.9341400000001 797.0
947.9341400000001 797.0
948.9341400000001 807.0
949.9341400000001 818.0
950.9341400000001 803.0
951.9341400000001 797.0
952.9341400000001 803.0
953.9341400000001 792.0
954.9341400000001 801.0
955.9341400000001 794.0
956.9341400000001 791.0
957.9341400000001 789.0
958.9341400000001 800.0
959.9341400000001 787.0
960.9341400000001 811.0
961.9341400000001 810.0
962.9341400000001 815.0
963.9341400000001 810.0
964.9341400000001 779.0
965.9341400000001 797.0
966.9341400000001 801.0
967.9341400000001 804.0
968.9341400000001 784.0
969.9341400000001 803.0
970.9341400000001 803.0
971.9341400000001 785.0
972.9341400000001 804.0
973.9341400000001 801.0
974.9341400000001 806.0
975.9341400000001 815.0
976.9341400000001 803.0
977.9341400000001 809.0
978.9341400000001 818.0
979.9341400000001 791.0
980.9341400000001 796.0
981.9341400000001 799.0
982.9341400000001 810.0
983.9341400000001 814.0
984.9341400000001 816.0
985.9341400000001 797.0
986.9341400000001 800.0
987.9341400000001 816.0
988.9341400000001 805.0
989.9341400000001 802.0
990.9341400000001 794.0
991.9341400000001 805.0
992.9341400000001 798.0
993.9341400000001 799.0
994.9341400000001 802.0
995.9341400000001 802.0
996.9341400000001 807.0
997.9341400000001 798.0
998.9341400000001 800.0
999.9341400000001 789.0
1000.9341400000001 809.0
1001.9341400000001 824.0
1002.9341400000001 791.0
1003.9341400000001 794.0
1004.9341400000001 798.0
1005.9341400000001 805.0
1006.9341400000001 808.0
1007.9341400000001 804.0
1008.9341400000001 821.0
1009.9341400000001 803.0
1010.9341400000001 792.0
1011.9341400000001 808.0
1012.9341400000001 813.0
1013.9341400000001 809.0
1014.9341400000001 789.0
1015.9341400000001 817.0
1016.9341400000001 790.0
1017.9341400000001 800.0
1018.9341400000001 810.0
1019.9341400000001 809.0
1020.9341400000001 799.0
1021.9341400000001 799.0
1022.9341400000001 795.0
1023.9341400000001 819.0
1024.93414 820.0
1025.93414 793.0
1026.93414 797.0
1027.93414 800.0
1028.93414 808.0
1029.93414 796.0
1030.93414 803.0
1031.93414 809.0
1032.93414 792.0
1033.93414 803.0
1034.93414 804.0
1035.93414 808.0
1036.93414 813.0
1037.93414 818.0
1038.93414 797.0
1039.93414 777.0
1040.93414 788.0
1041.93414 812.0
1042.93414 814.0
1043.93414 792.0
1044.93414 816.0
1045.93414 787.0
1046.93414 793.0
1047.93414 806.0
1048.93414 802.0
1049.93414 792.0
1050.93414 811.0
1051.93414 804.0
1052.93414 804.0
1053.93414 805.0
1054.93414 798.0
1055.93414 806.0
1056.93414 813.0
1057.93414 794.0
1058.93414 801.0
1059.93414 804.0
1060.93414 799.0
1061.93414 804.0
1062.93414 809.0
1063.93414 800.0
1064.93414 796.0
1065.93414 798.0
1066.93414 793.0
1067.93414 806.0
1068.93414 799.0
1069.93414 796.0
1070.93414 794.0
1071.93414 803.0
1072.93414 799.0
1073.93414 810.0
1074.93414 817.0
1075.93414 802.0
1076.93414 803.0
1077.93414 801.0
1078.93414 797.0
1079.93414 814.0
1080.93414 801.0
1081.93414 820.0
1082.93414 810.0
1083.93414 809.0
1084.93414 806.0
1085.93414 781.0
1086.93414 812.0
1087.93414 800.0
1088.93414 802.0
1089.93414 792.0
1090.93414 795.0
1091.93414 798.0
1092.93414 782.0
1093.93414 820.0
1094.93414 796.0
1095.93414 806.0
1096.93414 799.0
1097.93414 809.0
1098.93414 817.0
1099.93414 806.0
1100.93414 810.0
1101.93414 817.0
1102.93414 814.0
1103.93414 800.0
1104.93414 803.0
1105.93414 809.0
1106.93414 804.0
1107.93414 796.0
1108.93414 816.0
1109.93414 810.0
1110.93414 809.0
1111.93414 802.0
1112.93414 805.0
1113.93414 805.0
1114.93414 809.0
1115.93414 804.0
1116.93414 795.0
1117.93414 806.0
1118.93414 793.0
1119.93414 788.0
1120.93414 815.0
1121.93414 794.0
1122.93414 808.0
1123.93414 794.0
1124.93414 801.0
1125.93414 792.0
1126.93414 793.0
1127.93414 804.0
1128.93414 801.0
1129.93414 791.0
1130.93414 800.0
1131.93414 788.0
1132.93414 810.0
1133.93414 785.0
1134.93414 801.0
1135.93414 791.0
1136.93414 793.0
1137.93414 812.0
1138.93414 812.0
1139.93414 797.0
1140.93414 804.0
1141.93414 795.0
1142.93414 803.0
1143.93414 809.0
1144.93414 810.0
1145.93414 813.0
1146.93414 807.0
1147.93414 805.0
1148.93414 809.0
1149.93414 786.0
1150.93414 800.0
1151.93414 817.0
1152.93414 812.0
1153.93414 788.0
1154.93414 817.0
1155.93414 810.0
1156.93414 797.0
1157.93414 801.0
1158.93414 817.0
1159.93414 789.0
1160.93414 811.0
1161.93414 812.0
1162.93414 803.0
1163.93414 807.0
1164.93414 816.0
1165.93414 810.0
1166.93414 800.0
1167.93414 802.0
1168.93414 810.0
1169.93414 805.0
1170.93414 811.0
1171.93414 804.0
1172.93414 796.0
1173.93414 802.0
1174.93414 802.0
1175.93414 827.0
1176.93414 796.0
1177.93414 807.0
1178.93414 820.0
1179.93414 811.0
1180.93414 800.0
1181.93414 796.0
1182.93414 804.0
1183.93414 801.0
1184.93414 805.0
1185.93414 796.0
1186.93414 805.0
1187.93414 791.0
1188.93414 801.0
1189.93414 814.0
1190.93414 814.0
1191.93414 804.0
1192.93414 810.0
1193.93414 789.0
1194.93414 808.0
1195.93414 785.0
1196.93414 789.0
1197.93414 802.0
1198.93414 806.0
1199.93414 810.0
1200.93414 808.0
1201.93414 801.0
1202.93414 816.0
1203.93414 809.0
1204.93414 805.0
1205.93414 805.0
1206.93414 806.0
1207.93414 791.0
1208.93414 791.0
1209.93414 798.0
1210.93414 802.0
1211.93414 797.0
1212.93414 805.0
1213.93414 805.0
1214.93414 810.0
1215.93414 805.0
1216.93414 793.0
1217.93414 803.0
1218.93414 813.0
1219.93414 808.0
1220.93414 790.0
1221.93414 790.0
1222.93414 812.0
1223.93414 812.0
1224.93414 797.0
1225.93414 804.0
1226.93414 798.0
1227.93414 818.0
1228.93414 796.0
1229.93414 805.0
1230.93414 817.0
1231.93414 805.0
1232.93414 804.0
1233.93414 798.0
1234.93414 791.0
1235.93414 795.0
1236.93414 810.0
1237.93414 801.0
1238.93414 806.0
1239.93414 806.0
1240.93414 802.0
1241.93414 814.0
1242.93414 804.0
1243.93414 797.0
1244.93414 797.0
1245.93414 816.0
1246.93414 799.0
1247.93414 811.0
1248.93414 801.0
1249.93414 796.0
1250.93414 796.0
1251.93414 789.0
1252.93414 815.0
1253.93414 804.0
1254.93414 811.0
1255.93414 814.0
1256.93414 793.0
1257.93414 804.0
1258.93414 804.0
1259.93414 792.0
1260.93414 792.0
1261.93414 797.0
1262.93414 796.0
1263.93414 814.0
1264.93414 795.0
1265.93414 797.0
1266.93414 800.0
1267.93414 809.0
1268.93414 812.0
1269.93414 819.0
1270.93414 802.0
1271.93414 808.0
1272.93414 806.0
1273.93414 801.0
1274.93414 806.0
1275.93414 809.0
1276.93414 818.0
1277.93414 812.0
1278.93414 821.0
1279.93414 808.0
1280.93414 808.0
1281.93414 794.0
1282.93414 802.0
1283.93414 796.0
1284.93414 799.0
1285.93414 806.0
1286.93414 812.0
1287.93414 796.0
1288.93414 798.0
1289.93414 792.0
1290.93414 804.0
1291.93414 809.0
1292.93414 810.0
1293.93414 793.0
1294.93414 794.0
1295.93414 788.0
1296.93414 785.0
1297.93414 805.0
1298.93414 785.0
1299.93414 803.0
1300.93414 784.0
1301.93414 795.0
1302.93414 796.0
1303.93414 797.0
1304.93414 803.0
1305.93414 816.0
1306.93414 806.0
1307.93414 802.0
1308.93414 799.0
1309.93414 784.0
1310.93414 802.0
1311.93414 795.0
1312.93414 812.0
1313.93414 795.0
1314.93414 806.0
1315.93414 797.0
1316.93414 804.0
1317.93414 802.0
1318.93414 805.0
1319.93414 796.0
1320.93414 808.0
1321.93414 814.0
1322.93414 805.0
1323.93414 805.0
1324.93414 810.0
1325.93414 806.0
1326.93414 825.0
1327.93414 804.0
1328.93414 811.0
1329.93414 812.0
1330.93414 804.0
1331.93414 814.0
1332.93414 803.0
1333.93414 820.0
1334.93414 806.0
1335.93414 808.0
1336.93414 804.0
1337.93414 798.0
1338.93414 809.0
1339.93414 800.0
1340.93414 802.0
1341.93414 812.0
1342.93414 796.0
1343.93414 804.0
1344.93414 809.0
1345.93414 811.0
1346.93414 800.0
1347.93414 795.0
1348.93414 809.0
1349.93414 812.0
1350.93414 800.0
1351.93414 806.0
1352.93414 805.0
1353.93414 811.0
1354.93414 814.0
1355.93414 798.0
1356.93414 796.0
1357.93414 789.0
1358.93414 789.0
1359.93414 804.0
1360.93414 801.0
1361.93414 796.0
1362.93414 793.0
1363.93414 798.0
1364.93414 788.0
1365.93414 803.0
1366.93414 805.0
1367.93414 804.0
1368.93414 802.0
1369.93414 803.0
1370.93414 805.0
1371.93414 795.0
1372.93414 799.0
1373.93414 795.0
1374.93414 796.0
1375.93414 799.0
1376.93414 797.0
1377.93414 816.0
1378.93414 809.0
1379.93414 810.0
1380.93414 815.0
1381.93414 816.0
1382.93414 802.0
1383.93414 802.0
1384.93414 798.0
1385.93414 796.0
1386.93414 796.0
1387.93414 805.0
1388.93414 790.0
1389.93414 799.0
1390.93414 803.0
1391.93414 804.0
1392.93414 809.0
1393.93414 803.0
1394.93414 806.0
1395.93414 811.0
1396.93414 813.0
1397.93414 805.0
1398.93414 798.0
1399.93414 785.0
1400.93414 824.0
1401.93414 810.0
1402.93414 805.0
1403.93414 806.0
1404.93414 788.0
1405.93414 801.0
1406.93414 802.0
1407.93414 794.0
1408.93414 810.0
1409.93414 813.0
1410.93414 811.0
1411.93414 803.0
1412.93414 788.0
1413.93414 806.0
1414.93414 802.0
1415.93414 807.0
1416.93414 802.0
1417.93414 801.0
1418.93414 806.0
1419.93414 796.0
1420.93414 823.0
1421.93414 804.0
1422.93414 802.0
1423.93414 806.0
1424.93414 801.0
1425.93414 808.0
1426.93414 797.0
1427.93414 807.0
1428.93414 796.0
1429.93414 799.0
1430.93414 802.0
1431.93414 791.0
1432.93414 792.0
1433.93414 791.0
1434.93414 809.0
1435.93414 810.0
1436.93414 806.0
1437.93414 784.0
1438.93414 806.0
1439.93414 801.0
1440.93414 784.0
1441.93414 792.0
1442.93414 800.0
1443.93414 791.0
1444.93414 801.0
1445.93414 797.0
1446.93414 808.0
1447.93414 795.0
1448.93414 799.0
1449.93414 789.0
1450.93414 790.0
1451.93414 797.0
1452.93414 819.0
1453.93414 797.0
1454.93414 786.0
1455.93414 808.0
1456.93414 806.0
1457.93414 805.0
1458.93414 794.0
1459.93414 797.0
1460.93414 802.0
1461.93414 811.0
1462.93414 804.0
1463.93414 819.0
1464.93414 812.0
1465.93414 805.0
1466.93414 816.0
1467.93414 804.0
1468.93414 824.0
1469.93414 809.0
1470.93414 819.0
1471.93414 816.0
1472.93414 800.0
1473.93414 805.0
1474.93414 798.0
1475.93414 796.0
1476.93414 799.0
1477.93414 802.0
1478.93414 794.0
1479.93414 812.0
1480.93414 791.0
1481.93414 809.0
1482.93414 817.0
1483.93414 804.0
1484.93414 804.0
1485.93414 800.0
1486.93414 806.0
1487.93414 798.0
1488.93414 788.0
1489.93414 799.0
1490.93414 804.0
1491.93414 809.0
1492.93414 795.0
1493.93414 789.0
1494.93414 804.0
1495.93414 802.0
1496.93414 801.0
1497.93414 799.0
1498.93414 798.0
1499.93414 785.0
1500.93414 795.0
1501.93414 804.0
